school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;19;U;GT3;T;4;3;at_home;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;3;5;3;1;2;3;4;14;12;9
GP;F;15;U;GT3;T;4;1;other;services;home;other;2;4;0;no;yes;yes;no;yes;yes;yes;no;3;1;3;3;3;5;20;11;10;14
GP;M;17;R;LE3;T;3;3;at_home;other;other;father;2;3;1;no;yes;no;no;yes;yes;yes;no;5;5;5;1;2;3;0;6;8;7
GP;M;18;R;GT3;T;4;4;other;other;home;father;1;2;1;no;yes;no;no;yes;yes;no;yes;5;3;4;1;3;1;7;14;14;16
GP;F;18;U;GT3;T;1;1;teacher;other;reputation;mother;2;3;1;no;yes;no;no;yes;yes;yes;yes;3;4;3;2;2;5;0;5;3;5
GP;M;16;U;GT3;T;3;1;services;teacher;other;mother;1;1;3;no;yes;no;no;yes;yes;no;no;4;4;3;1;3;2;0;8;10;11
GP;M;18;U;LE3;T;1;1;services;other;course;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;5;1;2;5;0;15;15;14
GP;M;18;U;GT3;T;2;3;other;other;course;mother;1;3;0;no;no;yes;no;yes;yes;yes;no;4;4;3;2;1;1;0;7;5;6
GP;F;15;U;GT3;T;4;4;services;other;other;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;4;3;2;1;1;5;0;10;11;9
GP;F;15;R;LE3;T;2;3;services;health;course;father;2;2;0;no;no;no;no;yes;yes;yes;no;4;5;2;1;1;1;0;7;7;7
GP;F;20;U;GT3;T;1;3;other;other;reputation;mother;1;3;0;no;yes;no;no;yes;yes;yes;no;5;3;3;1;3;1;0;8;9;9
GP;M;15;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;3;4;1;3;1;4;16;15;13
GP;M;16;R;LE3;A;3;2;services;other;reputation;mother;2;1;3;no;no;no;yes;yes;yes;yes;no;4;4;3;3;1;5;2;10;7;7
