school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;18;R;GT3;T;3;1;other;other;course;mother;1;2;2;no;yes;no;yes;yes;yes;yes;no;4;3;3;5;3;3;0;9;10;10
GP;M;16;R;GT3;A;2;3;at_home;other;course;mother;2;3;0;no;yes;yes;no;no;yes;yes;no;3;2;2;4;5;3;66;6;9;10
GP;F;18;U;LE3;A;2;4;other;other;course;mother;1;3;0;no;no;yes;no;yes;yes;yes;yes;4;3;4;2;3;5;0;6;5;5
GP;M;18;R;GT3;T;2;3;health;other;home;mother;1;1;2;no;no;yes;yes;yes;yes;no;yes;3;3;3;1;2;5;0;15;14;11
GP;M;21;R;GT3;T;2;3;other;other;reputation;mother;4;1;1;no;yes;yes;yes;yes;yes;yes;no;4;2;2;4;2;5;3;12;7;11
MS;M;18;U;LE3;T;2;4;other;at_home;course;mother;2;3;0;no;no;no;yes;no;yes;yes;yes;5;4;5;1;1;2;0;6;5;6
GP;F;18;U;GT3;A;4;2;at_home;other;reputation;mother;2;2;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;1;2;14;14;15
GP;M;16;R;GT3;T;4;1;at_home;other;course;mother;1;3;3;no;yes;no;no;no;yes;yes;no;4;2;3;1;4;5;4;10;11;11
GP;M;16;R;GT3;T;2;4;at_home;other;course;mother;1;2;0;no;yes;no;yes;no;yes;yes;yes;4;4;3;2;1;5;0;8;4;6
GP;M;17;U;GT3;T;3;2;other;other;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;1;1;1;3;3;1;11;9;10
GP;M;17;U;GT3;T;3;4;services;other;reputation;mother;2;1;0;no;yes;no;no;no;yes;no;yes;3;4;2;2;2;4;2;12;12;10
GP;M;15;U;GT3;T;3;2;other;health;reputation;mother;2;1;0;no;yes;no;no;yes;yes;yes;no;2;4;5;1;1;1;1;13;16;11
GP;F;17;R;GT3;T;3;4;other;other;course;father;1;1;3;yes;yes;no;no;yes;yes;yes;yes;4;4;3;3;5;5;12;7;8;13
GP;F;15;U;GT3;T;4;2;other;services;reputation;father;1;2;3;no;no;yes;no;no;yes;yes;yes;4;4;2;1;3;3;16;14;12;14
GP;M;18;R;LE3;T;4;4;teacher;other;home;other;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;5;4;1;5;14;13;14;15
MS;M;16;U;GT3;T;4;4;other;other;course;father;1;2;0;no;yes;yes;no;no;yes;no;yes;4;4;4;2;1;3;0;16;13;13
GP;F;18;R;GT3;A;4;1;services;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;3;2;2;1;4;1;2;5;5;6
GP;F;16;U;GT3;T;3;2;other;services;course;father;1;3;0;no;yes;no;no;yes;yes;yes;yes;5;3;2;1;4;5;0;9;13;12
GP;F;22;U;GT3;T;3;2;health;other;course;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;3;1;1;5;0;11;10;12
GP;F;15;U;GT3;T;1;1;at_home;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;3;3;2;3;4;0;8;9;9
GP;F;15;R;GT3;T;3;3;other;teacher;course;mother;1;3;2;yes;yes;no;yes;no;yes;yes;no;4;3;4;1;1;5;6;6;6;11
GP;F;18;U;LE3;T;2;2;other;services;reputation;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;3;1;9;10;9;12
GP;M;16;R;GT3;T;2;1;at_home;at_home;home;mother;1;2;0;no;yes;no;no;yes;yes;no;yes;4;3;2;1;1;1;1;4;2;6
GP;M;15;R;LE3;T;4;2;services;services;course;mother;1;4;0;no;no;no;yes;yes;yes;yes;yes;3;4;4;2;2;1;0;12;13;14
GP;F;16;U;GT3;T;4;4;other;services;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;2;2;4;2;4;5;6;11;13;12
GP;F;17;R;GT3;A;2;1;other;services;home;mother;1;2;1;no;no;no;yes;yes;yes;yes;yes;3;3;4;1;2;1;0;10;9;8
GP;F;17;R;LE3;T;2;1;other;at_home;home;father;1;1;1;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;1;3;4;10;13;14
GP;M;15;U;GT3;A;3;1;other;other;reputation;father;1;1;0;no;yes;no;no;yes;yes;yes;no;4;5;2;1;3;2;0;12;11;12
GP;M;16;U;GT3;T;4;2;services;other;home;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;5;2;1;1;5;0;7;6;7
GP;M;16;U;GT3;A;2;3;services;at_home;home;father;4;3;3;no;yes;no;no;yes;yes;yes;no;4;4;4;1;3;1;5;16;16;16
GP;M;16;U;LE3;T;1;4;services;teacher;home;mother;2;2;0;no;no;yes;no;yes;yes;yes;no;3;5;3;1;3;2;4;12;13;13
GP;M;15;R;LE3;T;4;4;health;services;reputation;mother;1;2;0;no;no;yes;yes;yes;yes;no;no;4;3;5;1;1;3;0;12;16;14
GP;M;15;R;GT3;T;1;2;at_home;other;home;mother;1;2;3;yes;yes;yes;no;no;yes;yes;yes;4;4;3;1;1;5;0;6;8;8
GP;M;15;R;GT3;T;2;2;other;services;course;mother;2;1;0;no;yes;yes;no;no;yes;yes;yes;4;4;3;2;3;5;0;8;5;8
GP;M;18;R;GT3;T;2;2;health;health;reputation;mother;1;1;0;no;yes;no;no;yes;yes;no;no;5;4;3;1;1;5;6;7;4;9
GP;M;17;U;GT3;T;4;3;services;services;course;mother;2;3;0;no;yes;no;yes;yes;yes;yes;no;4;5;4;1;1;4;1;9;10;12
GP;M;15;U;LE3;T;3;3;other;health;course;mother;1;2;2;no;yes;yes;no;yes;yes;yes;no;4;3;2;2;3;2;11;10;7;12
GP;M;22;U;GT3;T;3;2;services;services;course;father;1;4;1;no;no;no;yes;no;yes;yes;yes;4;2;2;1;1;3;0;15;15;13
GP;F;17;U;GT3;A;1;4;services;other;home;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;4;3;3;1;1;3;0;12;9;10
GP;F;18;R;GT3;A;3;2;health;other;other;other;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;1;1;3;2;7;8;10
GP;M;15;U;LE3;A;2;2;other;other;course;mother;2;4;3;no;no;no;no;yes;yes;no;no;3;4;3;1;1;1;6;15;17;14
MS;M;19;U;GT3;T;4;2;at_home;services;other;mother;2;2;0;yes;yes;no;no;no;yes;yes;yes;4;4;2;1;1;3;11;11;13;13
