school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;17;U;LE3;T;2;4;at_home;other;home;father;2;3;0;no;no;no;no;yes;yes;yes;no;3;2;5;4;3;4;2;13;13;13
GP;F;15;U;GT3;T;4;1;health;services;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;no;yes;5;4;2;2;1;3;14;8;11;11
GP;M;17;U;GT3;T;2;4;health;teacher;home;mother;2;1;1;no;no;no;yes;yes;yes;no;no;4;4;3;1;2;4;8;8;11;10
GP;F;18;U;LE3;A;4;1;services;other;course;mother;2;3;0;no;yes;yes;no;yes;yes;yes;yes;4;2;4;1;1;1;0;7;8;9
GP;F;18;U;GT3;T;3;2;at_home;other;home;mother;1;2;1;no;no;no;no;yes;yes;yes;yes;4;2;4;1;4;3;1;6;7;10
MS;F;16;U;GT3;T;2;3;services;other;other;other;1;3;0;no;yes;no;no;yes;yes;no;no;5;2;4;1;1;3;8;16;14;17
GP;F;17;U;GT3;T;2;4;other;other;home;mother;2;3;1;no;no;no;no;yes;yes;yes;no;4;2;4;1;1;5;0;11;11;11
GP;F;17;U;GT3;T;1;3;services;services;course;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;4;1;1;3;35;14;15;17
GP;F;17;R;LE3;A;2;3;services;services;home;mother;1;4;0;no;yes;yes;no;yes;yes;yes;no;3;5;2;1;3;4;18;14;14;16
GP;M;16;R;GT3;T;4;4;services;other;reputation;father;1;2;0;yes;yes;yes;yes;yes;yes;yes;yes;4;2;5;1;3;2;0;11;11;10
GP;M;16;U;GT3;T;1;1;services;other;home;mother;1;2;0;no;yes;no;no;no;yes;no;no;5;3;4;5;4;1;12;9;10;10
GP;F;16;U;GT3;T;3;4;teacher;other;course;mother;1;1;0;yes;no;no;no;yes;yes;yes;no;5;4;3;1;3;3;0;8;10;9
GP;M;17;U;LE3;A;4;4;services;teacher;home;mother;2;1;0;no;no;no;yes;no;yes;no;no;5;2;3;4;5;5;0;10;14;14
GP;M;18;U;GT3;T;2;1;other;other;reputation;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;1;3;0;8;9;10
GP;M;16;U;LE3;T;4;2;teacher;services;home;father;3;2;1;no;yes;yes;no;yes;yes;yes;yes;3;5;5;5;1;2;2;10;11;11
