school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;16;U;GT3;T;1;3;other;other;course;mother;1;2;0;yes;yes;no;no;yes;no;no;no;5;5;2;5;3;1;1;4;9;10
GP;M;15;U;LE3;T;2;3;services;services;course;father;1;1;2;no;no;yes;no;yes;yes;no;no;4;1;2;1;2;3;1;14;16;17
GP;F;15;U;LE3;T;4;1;other;other;home;father;2;2;0;no;yes;yes;no;no;yes;yes;yes;5;2;4;1;1;2;0;7;8;7
GP;M;18;U;GT3;T;2;2;health;other;course;mother;2;2;0;no;yes;yes;no;no;yes;yes;no;3;2;5;1;1;4;0;7;8;10
GP;M;16;R;GT3;T;4;1;other;other;course;mother;3;3;0;no;yes;no;yes;yes;yes;yes;no;4;4;3;1;1;3;7;16;14;15
GP;M;16;U;LE3;T;0;2;other;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;no;no;2;1;2;2;2;4;1;4;3;6
GP;F;18;U;GT3;T;3;2;at_home;other;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;2;3;2;2;5;1;5;5;9
GP;F;18;R;LE3;T;2;1;other;services;course;mother;1;1;1;no;yes;no;no;yes;yes;yes;yes;3;3;5;5;5;5;0;9;9;12
GP;F;15;U;LE3;T;3;2;teacher;other;home;mother;1;1;1;no;yes;no;no;no;yes;yes;yes;1;4;5;4;4;4;1;12;12;11
GP;F;16;U;GT3;T;4;2;other;other;reputation;other;2;1;1;no;yes;yes;no;yes;yes;yes;yes;5;4;2;1;3;5;6;10;12;11
GP;F;15;U;GT3;T;4;4;teacher;other;home;mother;3;2;0;no;no;no;yes;yes;yes;yes;no;4;4;3;1;4;5;1;13;13;15
GP;M;19;U;LE3;T;3;3;other;other;course;father;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;4;4;1;3;5;0;11;12;12
GP;F;18;U;GT3;T;1;2;services;other;course;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;5;0;9;11;9
MS;F;16;U;GT3;T;4;1;at_home;other;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;4;3;1;1;4;0;5;2;4
GP;F;15;R;GT3;T;4;2;other;services;course;mother;1;2;1;yes;yes;no;no;yes;yes;no;no;4;3;2;1;1;5;6;6;3;8
MS;F;16;U;LE3;T;1;3;services;other;reputation;other;2;2;0;no;no;no;no;yes;yes;yes;yes;3;5;3;3;3;1;5;13;12;15
GP;M;19;U;GT3;T;2;4;teacher;services;other;father;1;1;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;5;4;0;16;13;13
GP;F;18;U;GT3;T;3;1;other;other;course;mother;2;1;0;no;no;yes;no;no;yes;yes;no;3;2;3;1;2;4;0;8;7;9
GP;M;16;U;GT3;T;4;2;teacher;services;course;mother;1;1;0;no;yes;no;yes;no;yes;yes;no;5;3;4;2;2;3;38;12;15;17
GP;M;18;U;GT3;T;2;2;at_home;services;reputation;mother;2;4;0;no;no;no;no;yes;yes;yes;no;4;2;5;1;2;3;0;12;16;13
GP;M;18;R;GT3;T;2;1;teacher;services;course;other;3;2;0;yes;yes;no;yes;yes;yes;yes;no;4;4;5;3;1;4;3;11;11;17
GP;M;16;U;GT3;T;4;1;at_home;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;4;3;5;1;2;3;0;7;7;8
GP;M;19;U;GT3;T;4;1;services;other;home;mother;3;3;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;3;5;0;14;11;12
GP;F;16;U;LE3;T;4;0;teacher;services;home;mother;2;3;0;no;yes;yes;no;no;yes;yes;no;5;3;4;2;3;1;10;6;3;6
GP;M;18;U;GT3;T;4;3;services;services;course;mother;3;2;2;no;yes;no;no;yes;yes;yes;no;4;3;5;1;3;4;1;5;7;8
GP;F;15;R;LE3;T;2;4;at_home;other;home;father;1;4;1;no;yes;no;no;yes;yes;yes;no;5;2;3;1;5;5;11;10;7;9
GP;F;16;R;GT3;T;4;1;services;other;reputation;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;5;1;3;1;2;4;2;11;9;9
MS;F;16;R;LE3;T;2;2;other;services;course;other;1;3;0;yes;yes;no;no;yes;yes;yes;no;4;3;3;1;3;5;4;5;1;6
GP;M;17;U;LE3;T;2;2;other;health;course;father;1;3;1;no;yes;no;no;yes;no;yes;yes;3;5;3;1;1;3;1;12;13;13
GP;F;17;U;GT3;A;2;2;services;other;home;other;1;2;0;yes;yes;no;no;yes;yes;yes;no;4;3;4;2;4;5;0;5;6;8
GP;F;17;U;LE3;T;2;3;other;health;reputation;mother;1;1;2;no;no;no;yes;yes;yes;yes;no;5;5;2;1;2;3;2;9;12;13
GP;F;15;R;GT3;T;2;3;other;other;course;mother;2;1;0;yes;yes;yes;yes;yes;yes;no;no;3;3;3;2;5;5;15;9;7;9
MS;M;16;U;GT3;T;4;3;health;services;course;mother;1;1;3;no;yes;yes;no;no;yes;yes;no;4;3;2;2;2;2;0;10;14;14
GP;M;15;U;GT3;T;4;2;health;other;reputation;father;2;1;1;no;yes;no;no;yes;yes;yes;no;1;4;3;1;2;5;0;9;7;8
GP;M;17;U;GT3;T;2;1;other;services;other;mother;1;3;0;no;no;no;yes;no;yes;yes;no;3;3;1;4;5;3;1;12;11;11
GP;F;15;U;GT3;T;4;4;services;other;course;mother;1;1;0;no;yes;no;no;yes;no;no;yes;5;4;5;1;2;3;12;10;8;9
GP;M;16;U;GT3;A;3;1;other;other;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;4;5;2;4;3;5;0;10;7;7
GP;M;16;U;GT3;T;3;2;other;services;home;mother;3;1;0;no;no;no;yes;no;yes;yes;no;4;3;1;1;1;5;0;12;12;10
GP;M;20;R;GT3;T;3;2;teacher;other;home;father;2;2;1;no;no;no;yes;yes;yes;yes;no;4;1;3;3;4;1;7;8;8;11
GP;F;17;U;GT3;T;4;2;at_home;teacher;course;father;2;1;0;no;yes;yes;no;yes;yes;yes;no;3;5;3;1;2;3;0;8;7;9
GP;F;16;U;GT3;T;2;1;at_home;health;reputation;father;1;1;0;no;yes;no;no;yes;yes;yes;no;4;2;5;3;1;2;0;10;10;16
GP;M;17;U;GT3;T;3;1;services;other;reputation;father;2;1;0;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;3;5;0;13;8;5
MS;F;18;U;LE3;T;2;4;at_home;other;home;mother;1;1;0;yes;no;yes;no;yes;yes;yes;no;5;3;2;1;2;1;0;12;11;13
GP;M;20;U;GT3;T;2;3;services;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;5;3;2;3;5;11;11;11;12
GP;M;15;U;GT3;T;2;3;health;other;reputation;mother;1;3;0;no;yes;yes;no;yes;no;yes;no;5;5;3;1;1;3;2;9;10;13
GP;M;15;U;LE3;T;2;4;services;services;other;mother;1;1;0;no;no;yes;yes;yes;yes;yes;yes;3;3;1;2;2;3;0;13;12;11
GP;M;16;U;GT3;T;4;1;services;services;course;mother;1;4;1;no;no;no;no;no;yes;no;no;3;2;5;1;1;3;0;15;15;16
MS;F;18;U;LE3;T;2;4;at_home;services;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;4;2;4;3;2;5;2;7;8;10
MS;F;18;R;GT3;T;4;4;services;services;other;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;5;5;2;1;1;0;8;7;9
GP;M;17;R;LE3;T;3;1;other;services;course;mother;1;2;0;yes;yes;yes;no;yes;yes;no;no;4;3;5;1;2;3;0;6;7;11
GP;M;17;U;GT3;T;4;4;teacher;other;reputation;mother;2;3;0;no;yes;yes;no;yes;no;yes;yes;4;4;5;1;2;4;0;7;7;6
GP;F;16;U;LE3;T;4;4;services;other;home;father;2;1;0;no;no;no;yes;yes;no;yes;yes;4;4;2;1;1;5;9;11;14;12
GP;F;15;U;LE3;T;2;4;health;services;reputation;mother;2;1;1;no;yes;no;yes;yes;yes;yes;no;3;3;4;1;2;2;3;7;7;8
