school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
MS;F;18;U;GT3;T;4;4;health;other;reputation;mother;2;1;0;no;yes;yes;no;no;yes;no;no;5;4;4;1;3;5;1;13;14;14
GP;M;16;R;GT3;T;2;3;at_home;services;reputation;mother;1;4;1;no;yes;yes;yes;yes;yes;no;no;5;4;5;1;1;5;3;13;14;14
MS;M;17;R;LE3;T;2;3;other;services;course;mother;2;2;0;no;no;no;no;yes;yes;yes;no;4;5;2;1;2;1;1;12;13;12
GP;F;16;U;LE3;T;4;4;services;other;home;mother;2;4;0;yes;yes;yes;yes;no;yes;yes;no;4;4;3;1;3;2;0;16;17;17
GP;M;15;U;GT3;T;3;4;services;services;reputation;mother;1;1;0;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;2;3;1;15;16;13
GP;F;16;R;LE3;T;1;2;other;other;course;mother;2;2;0;no;yes;no;no;yes;yes;yes;yes;4;4;2;1;3;5;0;11;9;10
GP;M;15;U;LE3;T;1;1;services;health;home;other;1;1;0;no;no;yes;yes;yes;yes;no;no;2;1;4;2;4;5;0;17;17;18
GP;F;17;U;GT3;T;1;2;other;other;course;father;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;5;1;1;1;5;1;14;13;14
GP;M;16;R;GT3;A;3;4;other;services;home;father;3;2;0;no;yes;no;yes;no;yes;yes;yes;5;4;2;1;1;4;0;12;11;11
GP;M;18;U;LE3;A;3;2;services;at_home;home;mother;2;2;0;no;no;no;yes;yes;yes;yes;yes;4;4;3;3;1;2;0;10;12;13
GP;F;16;R;LE3;T;4;4;services;other;course;father;4;1;1;no;yes;yes;no;yes;yes;yes;yes;2;4;5;3;4;5;3;8;7;8
GP;F;17;U;GT3;T;3;3;at_home;at_home;course;father;2;3;0;no;yes;no;no;no;yes;yes;no;2;3;3;1;1;4;0;13;14;11
GP;F;16;U;GT3;A;3;3;services;services;other;other;2;1;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;1;5;0;8;8;10
GP;F;17;U;GT3;A;1;3;services;other;home;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;3;3;2;1;2;2;0;12;15;16
GP;M;15;U;GT3;T;1;4;other;teacher;course;mother;2;2;0;no;no;no;no;no;yes;no;no;5;2;2;1;1;3;0;9;9;10
GP;F;15;U;LE3;T;4;2;health;health;reputation;father;2;3;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;3;5;5;21;9;9;11
GP;F;19;U;LE3;T;2;2;other;services;reputation;other;1;4;0;yes;yes;yes;yes;no;yes;yes;yes;4;5;3;3;2;1;14;8;8;11
GP;F;17;R;GT3;T;4;1;other;other;reputation;mother;1;3;2;no;yes;no;no;yes;yes;yes;no;4;2;3;1;1;2;0;11;11;12
GP;F;18;U;GT3;T;3;2;at_home;teacher;course;mother;1;3;0;no;no;no;no;no;yes;yes;no;3;4;5;3;4;3;0;11;6;8
GP;F;17;U;LE3;T;4;1;at_home;other;course;father;1;2;0;yes;no;no;no;yes;yes;yes;no;5;2;3;1;1;3;0;15;17;18
GP;M;15;U;GT3;A;2;2;other;services;course;mother;2;1;0;no;yes;yes;no;yes;yes;yes;no;5;4;2;2;3;5;0;11;11;11
MS;M;16;R;GT3;T;4;3;other;other;reputation;mother;1;1;1;no;yes;no;yes;no;no;yes;yes;4;4;4;5;4;5;40;16;13;19
GP;M;15;U;GT3;T;4;1;services;other;reputation;mother;2;1;2;yes;yes;yes;yes;yes;yes;yes;yes;4;4;3;3;3;5;4;12;8;8
MS;F;15;U;GT3;T;4;2;services;other;home;father;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;1;2;2;1;1;5;0;14;13;13
GP;F;17;R;LE3;A;3;4;health;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;2;3;3;1;3;1;11;11;10
GP;M;16;U;GT3;T;1;3;at_home;services;course;mother;3;2;2;no;no;yes;yes;yes;no;no;no;4;1;2;1;1;1;2;8;9;9
GP;F;18;U;GT3;T;3;2;services;other;course;mother;1;2;0;no;yes;yes;no;yes;no;no;no;5;3;2;1;2;5;1;7;6;8
GP;M;18;R;GT3;A;3;2;other;other;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;4;3;5;2;4;5;2;11;14;13
GP;F;18;R;GT3;T;4;2;other;services;course;mother;1;1;1;no;yes;no;no;no;yes;yes;no;4;1;4;2;2;3;0;14;12;10
GP;F;18;R;LE3;T;2;2;other;services;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;2;5;5;0;12;9;8
GP;M;16;U;GT3;T;4;2;services;services;reputation;father;1;1;0;no;yes;no;yes;yes;yes;yes;yes;3;4;2;2;3;3;0;10;9;9
GP;M;17;U;LE3;T;4;4;services;services;home;mother;1;1;0;no;yes;no;yes;yes;yes;no;yes;4;3;3;1;2;2;0;10;10;12
