school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;15;U;GT3;T;3;3;services;other;reputation;father;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;4;3;3;1;5;1;12;12;14
GP;F;18;R;GT3;T;1;1;other;other;home;father;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;3;3;3;1;3;3;0;17;15;13
GP;F;18;U;GT3;T;2;1;other;services;other;father;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;4;4;17;19;19
MS;M;18;U;GT3;T;3;1;teacher;services;reputation;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;2;1;4;3;47;17;18;18
GP;M;20;U;GT3;T;3;4;other;at_home;other;other;1;2;1;no;yes;no;no;yes;yes;yes;yes;4;3;3;2;1;5;3;15;12;9
GP;F;16;R;LE3;T;3;3;teacher;teacher;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;5;5;2;1;4;1;0;15;17;20
GP;F;18;R;GT3;T;1;2;services;services;home;mother;2;1;0;no;yes;yes;no;yes;no;yes;no;5;2;1;1;4;3;3;13;13;14
GP;F;17;R;GT3;T;2;1;at_home;other;course;mother;2;2;0;no;no;no;yes;no;yes;yes;no;4;2;2;1;1;2;1;10;10;10
GP;F;19;U;GT3;T;3;3;at_home;services;reputation;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;4;3;3;1;1;5;7;12;14;13
GP;F;16;R;GT3;T;3;2;at_home;health;home;mother;1;2;0;no;no;no;no;yes;yes;no;no;4;4;3;1;3;5;0;19;19;18
GP;M;16;R;GT3;T;3;3;at_home;other;home;mother;1;3;0;yes;no;no;yes;yes;yes;yes;no;3;4;3;1;3;2;2;13;13;14
GP;F;16;U;LE3;T;1;4;health;services;course;other;2;3;2;no;yes;yes;yes;yes;yes;yes;no;4;4;4;1;2;5;0;8;8;11
GP;M;17;U;GT3;T;3;3;teacher;services;course;father;2;1;0;no;no;yes;yes;yes;yes;yes;yes;5;4;4;1;5;5;1;16;18;19
GP;F;19;U;GT3;T;4;1;services;other;course;mother;2;2;0;no;yes;no;yes;yes;yes;yes;yes;3;3;4;1;1;3;6;9;12;16
GP;M;16;U;GT3;T;2;3;teacher;other;home;father;2;1;3;no;yes;yes;yes;yes;yes;yes;no;4;3;5;1;4;3;0;11;13;13
GP;F;15;U;GT3;T;2;2;at_home;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;no;no;4;4;1;1;1;2;27;17;16;18
GP;M;19;U;GT3;T;3;2;other;teacher;home;father;1;1;1;yes;yes;no;no;yes;yes;yes;no;5;2;3;1;5;5;6;12;15;16
GP;F;16;U;GT3;T;3;2;other;at_home;home;mother;1;1;0;no;yes;yes;yes;no;yes;no;yes;5;3;5;1;4;4;0;12;14;13
GP;F;16;R;GT3;T;1;2;services;services;home;other;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;5;1;2;2;2;0;15;12;14
GP;F;17;U;LE3;T;2;4;other;other;home;mother;2;1;2;no;no;no;yes;yes;no;no;no;3;5;3;1;2;3;0;10;9;12
GP;F;16;U;GT3;T;1;4;at_home;other;reputation;mother;2;2;3;yes;yes;no;yes;no;yes;yes;yes;4;2;4;1;2;2;0;14;14;16
GP;F;17;U;LE3;A;4;2;services;services;home;mother;1;1;0;no;no;yes;yes;yes;yes;yes;yes;4;3;3;1;3;3;1;7;7;10
