school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;16;R;GT3;T;1;2;services;services;reputation;mother;2;1;1;no;yes;yes;yes;yes;yes;yes;no;5;2;5;1;1;5;0;9;8;13
GP;F;15;U;GT3;T;1;1;teacher;other;home;father;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;5;1;1;4;2;0;7;6;8
GP;M;16;U;GT3;T;2;3;at_home;other;reputation;father;2;3;0;no;yes;no;yes;no;yes;no;no;3;3;4;1;4;5;3;9;10;13
GP;F;18;R;LE3;T;4;2;services;teacher;reputation;mother;2;2;0;no;yes;no;no;no;yes;yes;yes;4;3;4;1;1;5;0;11;12;12
GP;M;18;R;GT3;T;1;3;teacher;other;reputation;mother;2;3;0;no;no;yes;yes;yes;yes;yes;no;3;2;3;4;2;4;1;12;15;15
GP;M;17;U;GT3;T;4;4;services;services;course;father;1;1;0;no;yes;no;no;yes;yes;no;no;3;3;4;2;2;2;0;14;10;12
GP;M;15;U;LE3;T;2;2;services;other;course;other;1;4;0;no;no;no;yes;yes;yes;yes;no;5;4;2;1;4;5;0;14;11;12
MS;M;15;U;GT3;T;2;4;other;other;course;father;3;1;0;no;no;yes;no;yes;yes;yes;yes;4;4;3;2;3;5;0;13;12;8
GP;M;16;R;GT3;T;3;2;teacher;services;home;mother;1;3;0;no;no;no;no;no;yes;no;yes;5;2;2;1;2;5;0;17;17;11
GP;F;18;R;GT3;T;4;2;services;at_home;course;mother;2;2;0;no;yes;yes;yes;no;yes;yes;no;5;2;3;1;1;3;0;6;4;7
GP;M;18;U;GT3;T;0;2;teacher;other;reputation;father;1;1;0;yes;no;no;yes;no;yes;yes;no;4;2;3;1;3;4;0;6;6;6
GP;F;15;U;GT3;T;1;4;other;other;course;mother;1;1;0;no;yes;yes;no;yes;yes;yes;no;4;1;2;2;3;3;0;8;12;14
GP;F;15;U;GT3;T;1;3;health;at_home;reputation;mother;2;3;0;no;yes;no;no;yes;yes;yes;no;2;2;3;1;1;2;0;12;12;12
GP;M;17;U;LE3;A;1;2;other;services;course;mother;1;2;0;no;no;no;no;no;yes;yes;no;5;3;4;1;2;3;0;13;15;13
GP;M;18;U;GT3;T;2;3;services;other;other;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;4;5;1;1;3;1;7;3;8
GP;F;15;U;GT3;T;4;4;health;other;home;father;1;2;0;no;no;no;no;no;yes;yes;yes;4;3;3;1;2;5;1;12;9;9
GP;M;17;U;GT3;T;2;4;other;other;course;mother;2;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;4;3;1;4;2;0;7;7;8
MS;F;18;U;GT3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;3;1;3;4;12;10;9;11
GP;F;15;U;LE3;T;3;1;other;other;course;mother;1;2;0;yes;yes;no;no;no;yes;yes;yes;5;2;3;2;2;4;1;4;4;6
MS;M;17;U;GT3;T;3;4;teacher;other;reputation;mother;1;1;1;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;2;1;0;13;12;15
GP;F;17;R;GT3;T;2;1;health;other;reputation;mother;2;1;2;yes;yes;no;no;yes;yes;yes;no;5;2;3;1;1;1;11;16;12;15
MS;M;18;U;LE3;T;1;3;services;other;reputation;mother;1;1;0;yes;no;no;yes;yes;yes;yes;no;4;3;3;1;2;2;29;8;10;13
GP;M;18;R;LE3;T;4;2;other;health;home;other;1;2;0;no;no;no;yes;yes;yes;yes;no;4;1;3;2;1;5;1;9;8;13
