school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;18;U;LE3;T;2;3;other;other;course;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;3;4;3;1;3;5;0;11;13;11
GP;F;16;R;GT3;T;4;3;teacher;at_home;home;father;1;2;1;yes;yes;yes;yes;yes;yes;no;no;4;4;3;1;1;3;1;11;10;12
GP;F;17;U;LE3;T;1;2;other;other;course;mother;2;4;0;no;yes;yes;yes;yes;yes;yes;no;3;4;4;5;4;5;2;13;14;14
GP;F;16;U;GT3;T;3;4;services;other;reputation;other;2;2;1;no;no;no;no;yes;yes;yes;no;4;4;4;1;4;5;3;14;15;14
GP;F;17;R;GT3;T;1;4;other;other;home;mother;3;2;0;yes;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;1;0;9;5;8
GP;F;15;U;LE3;T;4;4;other;other;course;mother;2;4;0;no;yes;yes;yes;no;yes;no;yes;5;5;5;1;3;3;0;16;16;14
GP;F;16;U;GT3;T;2;2;at_home;teacher;home;father;1;3;0;no;no;yes;no;yes;yes;no;no;3;3;4;1;1;3;2;15;15;19
GP;F;18;U;GT3;T;3;2;teacher;other;reputation;mother;1;1;0;no;yes;no;yes;yes;yes;no;yes;3;3;4;1;2;5;2;10;13;17
GP;F;18;U;GT3;T;3;3;services;other;home;mother;2;3;1;yes;yes;yes;yes;yes;yes;yes;no;5;4;1;1;1;4;15;15;14;14
GP;F;17;U;GT3;T;0;1;services;services;reputation;father;2;3;0;yes;yes;yes;no;yes;yes;yes;yes;4;3;4;2;2;3;0;13;13;12
GP;M;15;U;LE3;T;4;2;teacher;other;home;mother;1;1;0;no;yes;yes;yes;yes;yes;no;no;4;1;2;1;5;1;5;16;20;20
GP;F;16;U;GT3;T;3;2;teacher;other;home;mother;1;1;1;yes;yes;no;yes;yes;no;yes;no;3;5;2;1;4;1;14;12;9;11
GP;M;16;U;LE3;T;4;2;other;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;0;12;10;12
GP;M;17;U;GT3;T;4;4;teacher;other;home;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;4;5;1;17;17;18
GP;M;17;R;GT3;T;4;2;services;services;home;mother;1;2;0;no;no;no;no;yes;no;yes;no;4;4;3;5;1;4;0;14;10;12
GP;M;17;U;LE3;T;1;2;services;other;course;mother;3;2;0;no;no;no;yes;yes;yes;yes;yes;4;1;1;1;1;3;10;13;15;19
GP;M;15;U;LE3;T;1;1;other;other;course;father;1;3;0;yes;yes;no;no;yes;yes;no;yes;3;4;2;2;1;1;0;15;17;14
GP;M;16;U;GT3;T;2;3;at_home;services;course;other;2;3;0;no;yes;yes;no;yes;yes;yes;no;3;5;2;1;1;5;5;13;14;18
MS;M;17;U;GT3;T;4;3;teacher;services;home;mother;3;3;0;no;yes;yes;no;yes;yes;yes;no;5;4;3;4;3;4;0;15;16;17
GP;M;17;U;LE3;T;3;3;other;services;course;father;2;2;0;no;yes;no;no;no;yes;yes;no;5;5;1;1;2;1;4;11;11;11
GP;F;15;R;LE3;T;2;1;health;services;reputation;other;1;2;1;no;yes;no;yes;yes;yes;yes;yes;4;2;5;1;1;3;1;10;11;10
GP;F;16;U;GT3;T;4;2;other;other;course;father;1;3;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;1;4;0;12;14;13
GP;M;16;U;GT3;T;4;1;teacher;other;course;father;1;1;0;no;no;no;yes;yes;yes;yes;yes;4;3;4;2;3;5;1;14;13;16
GP;F;17;U;GT3;A;3;1;services;other;course;father;3;2;3;yes;yes;yes;no;yes;yes;no;yes;4;3;4;1;1;2;2;12;15;18
GP;M;18;U;LE3;A;4;2;services;other;home;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;3;3;5;5;14;16;16
GP;M;15;U;LE3;T;2;4;at_home;other;course;mother;2;2;2;no;no;no;no;yes;no;yes;no;5;5;2;1;5;5;0;11;7;12
GP;M;15;U;GT3;T;3;3;services;other;course;other;3;1;1;no;yes;no;no;yes;yes;yes;no;3;4;3;1;1;2;0;20;20;19
GP;M;16;U;GT3;T;2;1;teacher;other;home;mother;1;1;1;yes;yes;yes;no;no;yes;no;no;4;5;4;1;5;2;18;11;9;14
GP;M;17;R;LE3;A;3;2;at_home;other;course;mother;2;2;3;no;yes;no;no;yes;yes;yes;yes;2;3;1;1;1;5;1;8;8;11
GP;M;17;U;LE3;T;4;1;teacher;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;no;no;5;4;2;1;2;5;0;9;8;10
GP;F;17;U;GT3;T;0;2;other;at_home;course;father;1;2;0;no;no;no;no;yes;yes;yes;no;5;3;3;3;1;1;1;15;10;9
GP;M;15;U;GT3;T;4;2;other;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;4;3;5;1;2;5;4;18;18;16
GP;F;18;U;GT3;T;3;3;teacher;other;other;mother;1;2;3;no;yes;no;no;yes;yes;yes;no;4;4;5;1;2;4;3;10;10;10
GP;F;15;U;GT3;T;3;4;other;teacher;other;father;1;2;3;yes;yes;no;yes;yes;yes;yes;no;4;3;3;2;3;4;7;7;4;8
GP;F;15;R;GT3;T;2;1;other;services;reputation;mother;1;2;1;yes;yes;no;yes;yes;yes;yes;yes;3;3;4;1;1;5;0;13;11;11
MS;F;18;U;GT3;T;1;3;at_home;at_home;course;father;2;3;3;no;yes;no;no;no;no;yes;no;4;2;3;1;1;5;1;11;12;14
GP;M;15;U;GT3;T;3;2;other;other;course;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;5;4;0;11;8;9
GP;M;17;R;LE3;T;2;4;other;other;reputation;mother;2;3;1;no;yes;no;no;yes;yes;yes;no;2;5;3;2;2;2;1;8;10;9
GP;M;16;R;LE3;T;1;3;services;other;reputation;mother;2;1;1;no;yes;yes;yes;yes;yes;yes;no;4;3;4;1;4;1;10;11;13;15
GP;M;16;U;LE3;A;2;2;services;services;home;father;2;2;0;no;no;no;no;yes;yes;yes;no;4;4;5;1;3;3;0;14;17;17
GP;M;19;U;GT3;T;3;1;other;services;home;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;yes;3;3;1;1;1;5;0;11;9;8
MS;M;15;U;GT3;T;4;3;other;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;4;2;4;1;2;2;0;12;14;14
GP;F;16;U;GT3;T;4;4;teacher;other;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;3;2;3;1;3;4;18;13;11;12
GP;M;17;R;GT3;T;4;1;other;other;home;mother;1;1;3;no;yes;yes;yes;yes;yes;yes;no;5;3;4;1;1;3;1;13;14;14
GP;F;22;U;LE3;T;3;2;services;services;course;other;1;2;0;yes;no;no;no;yes;yes;yes;yes;4;3;3;3;1;3;0;10;10;14
GP;M;18;R;GT3;T;3;2;health;services;course;mother;1;1;1;no;yes;no;no;yes;yes;yes;no;3;5;3;1;1;3;0;16;16;16
