school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;16;U;GT3;T;2;1;services;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;no;no;3;5;2;3;1;5;0;15;12;12
GP;M;18;R;LE3;T;1;4;other;other;reputation;mother;3;1;3;no;no;yes;yes;yes;yes;yes;no;4;3;4;1;1;5;16;7;7;10
GP;M;16;U;GT3;T;4;3;other;services;home;mother;1;2;3;no;yes;yes;no;yes;yes;yes;no;3;3;2;1;3;4;0;8;9;7
GP;M;19;U;GT3;T;4;3;services;other;reputation;mother;1;2;0;no;no;yes;no;yes;yes;yes;no;3;4;3;1;1;1;0;15;15;16
GP;M;18;U;GT3;T;1;3;at_home;other;course;father;2;2;3;yes;no;yes;yes;yes;yes;yes;no;4;3;3;1;1;3;2;13;13;12
GP;M;16;U;GT3;T;4;4;teacher;other;home;mother;1;2;0;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;3;0;11;8;9
GP;F;18;U;GT3;T;1;3;other;other;course;mother;2;3;0;no;yes;no;no;yes;yes;yes;no;4;3;2;2;3;5;0;12;12;8
GP;M;16;R;GT3;T;4;2;other;services;other;mother;2;1;0;no;yes;no;no;yes;yes;yes;yes;4;3;4;2;2;5;0;10;10;13
GP;M;16;U;GT3;T;1;3;services;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;2;3;0;7;8;9
GP;M;18;R;GT3;T;2;2;teacher;other;course;father;1;1;0;no;yes;yes;yes;yes;yes;yes;no;3;3;2;1;2;3;7;9;9;8
GP;M;16;U;LE3;T;4;1;at_home;other;course;mother;4;2;0;no;no;yes;no;yes;yes;yes;yes;4;3;4;1;1;5;0;11;8;12
GP;F;17;U;GT3;T;2;3;at_home;teacher;home;mother;1;3;0;no;yes;no;no;yes;yes;yes;no;4;2;5;1;1;4;6;6;8;12
MS;M;17;R;GT3;T;3;1;teacher;other;home;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;1;3;2;1;2;6;6;4;5
GP;M;16;U;LE3;T;4;3;other;other;home;mother;1;2;0;yes;no;yes;yes;yes;yes;yes;no;5;3;2;3;1;2;14;7;10;12
GP;F;16;U;GT3;T;2;4;teacher;services;course;other;1;2;0;no;yes;no;yes;yes;yes;yes;no;3;3;4;2;1;3;3;10;9;6
GP;F;17;R;GT3;A;2;3;other;health;home;mother;1;2;1;no;no;yes;no;no;yes;yes;yes;3;3;3;1;1;3;0;4;1;3
GP;M;16;U;GT3;T;3;3;services;other;course;other;1;1;0;yes;no;no;yes;yes;yes;yes;yes;4;4;3;1;4;5;0;5;9;11
GP;F;16;R;GT3;T;4;3;other;at_home;home;father;1;2;3;no;no;no;yes;yes;yes;yes;no;4;3;3;2;2;4;3;7;10;7
MS;M;18;U;LE3;T;4;1;teacher;teacher;home;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;2;3;3;1;1;4;41;13;10;14
GP;F;16;U;GT3;T;1;2;at_home;other;reputation;mother;1;2;0;no;yes;yes;yes;no;yes;yes;yes;5;3;3;1;1;2;49;7;8;10
GP;M;17;U;GT3;T;3;2;health;teacher;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;3;2;1;1;5;0;3;5;9
MS;M;15;R;LE3;T;2;4;teacher;at_home;home;father;2;4;0;no;yes;yes;yes;yes;yes;yes;no;3;5;2;2;5;1;21;13;15;16
GP;F;19;U;LE3;T;1;3;teacher;services;other;father;1;1;1;no;yes;no;yes;yes;yes;yes;yes;5;2;2;1;2;5;4;9;7;10
GP;F;18;U;LE3;T;4;2;at_home;services;home;father;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;2;1;1;5;1;15;11;14
GP;F;15;U;GT3;T;3;4;other;services;course;father;4;1;0;no;no;no;no;yes;yes;yes;no;4;2;5;2;1;5;0;11;10;13
GP;F;16;U;GT3;T;3;4;at_home;other;home;mother;1;2;0;no;no;yes;yes;yes;no;no;no;4;4;3;1;4;3;46;7;8;12
GP;F;18;U;GT3;T;3;1;services;services;reputation;mother;4;2;2;yes;no;no;no;yes;no;yes;yes;5;2;2;1;3;4;0;6;9;10
GP;M;18;U;GT3;T;3;0;other;other;home;father;1;2;0;no;no;yes;yes;yes;yes;yes;no;5;5;5;1;1;2;22;5;4;5
GP;F;17;U;LE3;T;4;3;services;services;home;mother;1;2;1;no;no;yes;no;yes;yes;yes;no;4;3;3;1;3;5;0;7;4;7
GP;M;17;U;LE3;T;4;1;services;other;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;5;5;2;4;3;0;6;6;5
GP;M;15;R;LE3;T;4;3;other;services;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;2;1;9;9;10;12
GP;F;17;U;GT3;T;4;2;teacher;services;course;father;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;1;2;3;1;6
MS;F;16;U;GT3;T;3;3;other;services;home;father;1;1;0;no;no;no;no;yes;yes;yes;no;5;2;2;2;2;5;7;7;7;7
GP;M;17;R;GT3;T;3;2;other;services;reputation;other;2;3;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;5;6;10;10;8
GP;F;17;R;LE3;A;4;1;services;services;other;mother;3;2;0;no;yes;yes;no;yes;yes;yes;yes;4;2;5;2;2;5;0;7;8;9
MS;M;16;R;GT3;T;4;2;at_home;at_home;home;mother;3;2;2;no;yes;yes;yes;yes;yes;no;yes;3;4;4;3;1;1;0;10;10;8
GP;M;16;U;GT3;T;3;2;services;services;course;mother;3;2;0;no;no;no;yes;yes;yes;yes;no;4;4;5;1;4;2;4;15;17;16
GP;M;18;U;GT3;T;1;3;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;4;3;1;1;3;0;15;14;12
GP;F;19;U;GT3;T;1;3;other;services;other;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;4;2;2;3;2;3;7;9;7
GP;M;18;U;GT3;T;2;2;other;other;home;father;2;2;0;no;no;yes;yes;yes;yes;yes;no;4;2;2;1;1;5;0;7;8;9
GP;F;17;U;GT3;T;1;1;other;other;other;other;2;2;0;no;yes;no;yes;yes;yes;yes;yes;5;1;5;2;1;1;1;6;5;7
GP;M;17;R;GT3;T;4;4;other;other;course;mother;1;1;0;no;no;no;yes;no;yes;yes;no;4;5;2;1;2;5;0;8;8;10
GP;F;15;U;GT3;T;1;1;services;other;course;mother;2;3;1;no;yes;no;no;yes;yes;no;yes;4;2;2;1;3;3;0;5;7;7
GP;F;16;U;LE3;T;3;4;other;services;reputation;mother;1;4;0;no;yes;yes;yes;no;yes;yes;no;4;2;3;1;3;3;0;10;11;10
GP;F;16;R;LE3;T;4;4;other;teacher;reputation;mother;2;2;0;no;no;yes;no;yes;yes;yes;no;3;4;5;1;1;2;0;12;12;13
GP;M;17;U;GT3;T;3;1;other;services;course;mother;1;2;3;no;yes;no;yes;yes;yes;no;no;4;3;4;1;3;3;0;10;13;16
GP;M;15;U;LE3;A;2;1;services;services;other;mother;4;4;0;no;yes;no;no;yes;yes;yes;yes;1;3;3;2;5;3;14;11;11;13
GP;F;18;U;GT3;T;2;2;teacher;services;reputation;mother;1;3;0;no;yes;yes;no;yes;yes;yes;yes;5;3;2;1;1;3;2;8;10;10
GP;M;19;U;GT3;T;2;2;other;other;course;mother;1;1;0;no;yes;no;no;yes;no;yes;no;5;5;5;1;1;5;0;8;9;8
GP;M;16;R;GT3;T;2;3;at_home;other;reputation;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;3;2;2;2;1;3;11;11;11
GP;M;15;U;GT3;T;2;2;other;services;home;mother;1;4;0;no;no;yes;yes;yes;yes;yes;no;4;3;5;1;4;3;0;11;13;12
GP;M;17;R;GT3;T;1;4;other;other;home;mother;3;1;0;no;yes;yes;no;yes;yes;no;no;5;3;2;1;5;5;18;13;11;15
MS;F;15;U;GT3;T;2;1;other;other;course;mother;3;2;2;no;yes;no;no;yes;yes;yes;yes;5;3;3;1;1;5;22;5;2;7
GP;M;15;U;LE3;A;3;4;at_home;other;reputation;mother;2;2;0;no;yes;no;no;yes;yes;yes;no;3;2;2;2;3;4;0;11;11;9
GP;M;16;R;GT3;T;1;3;at_home;services;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;2;3;1;1;5;2;7;11;14
MS;F;17;U;GT3;A;2;3;services;other;course;mother;1;1;0;no;yes;yes;no;no;yes;no;no;4;3;4;1;3;3;0;3;3;7
GP;F;18;R;GT3;T;4;3;other;teacher;course;mother;1;2;1;no;yes;no;no;yes;no;yes;yes;3;3;1;1;1;5;5;9;8;7
MS;F;18;R;GT3;T;4;2;services;health;reputation;father;2;2;0;no;yes;yes;no;yes;yes;yes;no;1;3;4;1;1;5;0;5;5;5
GP;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;1;no;yes;no;no;no;yes;yes;yes;4;3;3;1;4;5;2;8;5;7
GP;M;18;R;GT3;T;2;4;other;services;course;mother;2;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;4;3;2;3;0;6;1;3
GP;F;16;R;GT3;T;1;2;services;other;home;mother;3;2;0;no;yes;yes;yes;yes;yes;yes;no;5;2;5;1;1;5;0;15;16;16
GP;F;15;R;GT3;T;2;1;other;other;home;mother;1;2;0;yes;yes;yes;no;yes;yes;no;no;3;3;2;1;1;2;4;6;7;8
GP;M;17;U;LE3;T;4;1;other;services;reputation;other;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;3;2;1;1;5;18;8;11;13
GP;M;19;U;GT3;T;3;2;other;services;course;mother;1;3;0;no;no;no;yes;yes;yes;yes;no;3;5;2;2;5;2;6;5;3;8
GP;F;16;U;GT3;T;2;2;at_home;health;other;other;3;4;2;no;no;no;yes;no;yes;yes;yes;4;4;4;1;1;5;13;9;8;11
GP;M;16;U;GT3;T;3;1;teacher;at_home;course;mother;2;3;0;no;no;no;yes;no;yes;yes;yes;3;2;3;3;4;3;20;10;11;13
GP;F;16;U;LE3;T;4;2;teacher;other;course;mother;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;2;3;1;2;5;1;4;4;6
GP;M;18;R;GT3;T;3;3;other;at_home;course;mother;1;1;1;no;no;yes;yes;yes;yes;yes;yes;4;5;3;1;2;1;8;11;7;8
GP;M;17;U;LE3;A;2;4;other;other;reputation;other;1;2;0;no;yes;no;no;yes;yes;no;no;2;4;4;2;2;5;37;12;14;17
GP;M;17;U;GT3;T;2;4;other;other;other;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;5;3;5;1;3;2;1;8;9;9
GP;M;15;R;GT3;A;4;3;teacher;other;home;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;3;1;2;2;1;5;1;8;7;10
GP;M;18;U;GT3;T;3;1;at_home;services;course;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;5;2;1;2;2;0;9;7;9
GP;M;18;U;GT3;A;4;4;health;teacher;reputation;mother;1;3;2;no;no;no;yes;yes;yes;yes;yes;3;3;2;1;5;5;0;9;9;9
MS;F;15;U;GT3;T;2;2;at_home;health;course;mother;1;2;0;yes;no;no;no;yes;yes;yes;yes;3;3;2;1;2;4;0;7;7;9
MS;M;18;R;LE3;A;3;3;other;other;course;mother;2;1;0;no;no;no;no;yes;yes;no;no;3;3;2;4;3;3;1;8;8;7
GP;M;15;U;LE3;A;1;3;services;at_home;reputation;father;1;3;0;no;yes;no;no;no;yes;yes;yes;4;2;2;2;5;5;0;13;11;10
GP;F;19;U;GT3;T;0;4;at_home;health;home;father;1;1;0;no;yes;no;no;no;yes;no;yes;4;3;5;2;2;3;1;4;3;5
GP;M;15;U;LE3;T;2;3;at_home;services;reputation;mother;2;1;0;no;yes;no;yes;no;yes;no;yes;4;4;2;1;3;5;11;5;7;9
GP;F;19;R;LE3;T;3;3;at_home;at_home;reputation;mother;2;3;1;no;yes;no;yes;yes;yes;no;no;2;3;4;1;2;1;1;7;9;10
GP;M;18;U;GT3;T;4;1;teacher;services;reputation;mother;1;2;0;no;no;yes;no;yes;no;yes;yes;4;3;1;4;2;2;0;16;16;15
GP;M;17;R;LE3;T;4;1;services;services;reputation;father;2;1;0;no;yes;no;no;yes;yes;no;no;3;3;2;2;1;5;0;10;13;13
GP;F;18;U;GT3;T;4;4;other;other;other;mother;1;3;2;no;yes;no;yes;yes;yes;yes;no;2;4;5;1;4;4;0;3;3;6
MS;F;15;U;GT3;T;4;3;services;health;course;mother;2;2;3;no;yes;yes;no;no;yes;yes;no;5;4;2;1;1;1;0;13;9;8
GP;F;17;U;GT3;T;4;2;health;at_home;home;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;5;5;3;1;1;4;0;4;5;5
GP;F;16;U;GT3;T;1;4;services;other;course;father;1;1;0;no;no;yes;no;yes;yes;yes;yes;3;3;4;1;1;2;0;12;12;13
GP;M;15;U;GT3;T;2;2;at_home;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;1;4;1;13;9;6
GP;F;15;U;GT3;T;1;4;at_home;other;reputation;mother;1;2;0;yes;yes;no;no;yes;yes;yes;no;3;3;3;3;3;1;18;12;12;10
GP;F;17;R;GT3;T;2;3;teacher;health;home;mother;2;1;0;no;yes;yes;no;yes;yes;yes;no;4;2;5;2;3;4;11;5;8;10
MS;F;16;R;GT3;T;3;3;other;health;reputation;other;2;2;0;no;yes;yes;yes;yes;yes;yes;no;3;4;2;2;2;5;42;15;16;16
GP;F;16;U;GT3;T;4;4;services;teacher;home;mother;3;1;0;no;yes;yes;no;yes;yes;yes;no;4;4;3;1;1;4;0;10;12;10
GP;M;16;U;GT3;T;3;3;health;other;home;father;2;3;0;no;yes;yes;no;no;yes;no;no;4;3;2;2;2;4;8;4;3;6
GP;F;18;R;GT3;T;4;2;other;other;other;mother;2;2;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;3;1;2;9;11;14
MS;M;18;U;GT3;T;2;3;other;services;course;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;2;3;5;4;5;0;9;7;7
GP;F;16;U;LE3;T;1;1;services;services;reputation;father;1;1;0;no;no;no;yes;yes;yes;yes;yes;4;4;2;1;1;2;0;13;11;8
GP;F;16;U;LE3;A;4;4;services;other;other;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;2;1;1;3;1;12;11;11
GP;F;16;U;GT3;T;4;1;teacher;services;reputation;mother;2;3;0;no;no;yes;no;yes;yes;yes;no;4;2;3;1;1;5;4;16;17;17
GP;F;17;U;GT3;T;1;4;other;teacher;course;mother;1;3;2;no;no;no;yes;yes;yes;yes;yes;3;3;2;2;5;5;0;9;10;10
MS;M;18;U;LE3;T;4;2;health;other;other;mother;2;1;0;no;no;no;no;yes;yes;yes;yes;2;3;3;1;2;3;0;7;8;7
GP;F;15;U;GT3;A;2;1;at_home;services;course;mother;1;3;0;no;no;no;no;no;yes;yes;yes;3;1;2;1;2;3;12;9;8;11
GP;F;18;U;GT3;T;3;2;services;at_home;other;mother;2;3;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;0;10;10;13
GP;F;15;R;GT3;T;2;4;other;services;course;mother;2;1;1;no;no;yes;yes;yes;yes;yes;no;4;5;2;5;4;5;0;5;6;5
GP;M;17;U;GT3;T;3;4;other;other;reputation;mother;1;3;0;no;yes;yes;yes;no;yes;yes;yes;4;5;4;4;4;5;3;15;13;14
GP;F;18;U;GT3;A;2;4;teacher;teacher;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;5;3;2;1;4;3;0;6;7;9
GP;M;18;R;GT3;T;1;1;at_home;other;course;mother;1;3;0;no;no;no;no;no;yes;yes;yes;3;5;2;1;2;5;3;8;7;12
GP;M;18;R;GT3;T;3;4;other;other;course;mother;1;1;0;yes;yes;yes;yes;yes;yes;yes;no;5;2;5;3;4;1;0;6;3;5
GP;F;18;U;GT3;T;2;4;at_home;other;home;mother;1;3;0;no;yes;no;no;yes;yes;yes;no;5;4;2;1;1;5;0;7;7;7
GP;F;17;U;GT3;A;3;3;at_home;other;reputation;mother;2;2;0;no;no;yes;no;yes;yes;yes;no;5;4;3;1;2;5;20;6;3;6
GP;M;18;U;LE3;T;2;3;services;teacher;course;mother;1;2;0;no;yes;no;no;no;yes;yes;yes;4;2;2;3;2;4;3;5;5;5
GP;F;18;U;GT3;T;1;1;teacher;services;course;father;1;2;3;yes;yes;no;no;yes;yes;yes;yes;5;2;5;1;4;1;3;7;9;11
GP;F;18;R;GT3;T;4;4;services;services;course;mother;1;3;2;no;yes;no;no;yes;yes;yes;yes;4;4;3;2;3;5;1;10;9;12
GP;M;18;U;LE3;T;3;1;services;other;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;5;1;1;4;2;0;5;4;8
GP;F;18;U;GT3;T;4;3;services;at_home;course;mother;1;1;0;no;no;yes;no;yes;yes;yes;no;2;4;3;2;4;2;0;8;8;9
GP;F;17;R;GT3;T;4;2;at_home;other;home;mother;3;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;3;24;11;8;11
GP;M;18;R;LE3;T;2;1;services;teacher;home;mother;1;4;0;yes;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;3;0;15;16;15
GP;M;19;U;GT3;T;4;1;other;other;reputation;father;1;3;2;yes;yes;no;yes;no;no;yes;no;4;4;4;1;4;5;22;9;9;14
GP;M;18;U;GT3;T;3;4;teacher;other;course;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;5;2;2;4;5;0;6;8;7
GP;M;15;R;LE3;T;3;2;health;at_home;home;father;1;2;0;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;1;1;0;4;1;3
GP;F;19;U;GT3;T;4;2;services;other;reputation;other;2;3;0;no;yes;yes;no;yes;no;yes;yes;5;4;2;1;4;3;3;6;6;7
GP;F;15;R;LE3;A;4;3;services;services;course;mother;1;2;0;no;yes;no;no;yes;yes;no;yes;5;5;2;5;1;5;1;11;9;10
MS;F;17;R;GT3;T;4;3;teacher;other;other;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;3;3;3;1;1;1;2;13;14;14
GP;F;19;R;GT3;A;4;3;other;services;course;mother;2;1;0;no;no;no;yes;no;yes;yes;yes;2;3;2;4;4;3;1;7;6;7
GP;M;18;U;GT3;T;4;3;teacher;other;home;mother;2;2;0;no;yes;no;no;yes;no;yes;no;2;4;2;1;1;1;0;4;2;6
GP;M;18;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;yes;no;no;yes;yes;yes;4;4;2;2;4;5;0;5;7;9
GP;M;18;U;LE3;T;2;3;health;at_home;course;mother;1;3;2;no;yes;no;yes;yes;yes;yes;yes;4;1;3;3;5;5;0;4;7;7
GP;F;16;U;GT3;T;4;4;other;services;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;3;4;5;2;2;5;0;13;14;12
GP;M;15;U;LE3;T;2;4;services;teacher;reputation;father;2;2;0;no;yes;no;no;yes;yes;yes;no;4;4;2;1;1;4;0;13;10;8
GP;M;16;U;GT3;T;4;3;services;other;course;other;3;1;0;no;no;no;no;yes;yes;yes;no;4;4;4;2;2;5;19;9;9;13
GP;M;18;U;LE3;A;4;1;services;teacher;reputation;mother;2;1;0;no;yes;no;no;yes;yes;yes;no;4;3;2;1;2;4;0;8;6;9
GP;M;15;U;GT3;T;4;3;other;other;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;3;2;2;1;2;2;0;13;13;13
GP;F;18;U;GT3;T;4;4;other;other;home;father;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;3;1;5;4;11;10;11;14
GP;M;18;U;GT3;T;3;2;services;services;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;4;4;2;6;8;10
GP;F;17;R;GT3;T;3;4;teacher;services;home;mother;2;2;1;no;yes;no;yes;yes;no;yes;no;4;3;4;1;5;2;2;4;3;5
GP;F;18;R;GT3;T;2;3;other;services;other;father;1;3;0;no;yes;no;no;yes;yes;no;no;3;3;3;1;2;5;1;4;7;8
GP;F;16;U;GT3;T;1;3;services;other;course;mother;2;2;0;yes;yes;yes;yes;yes;yes;yes;no;3;5;1;1;3;4;0;5;1;4
GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;3;3;3;1;1;5;0;10;10;12
