school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;16;U;GT3;A;3;3;other;other;reputation;other;1;2;1;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;1;0;11;11;9
GP;F;18;R;LE3;T;3;3;other;services;course;mother;3;3;0;no;yes;no;no;yes;yes;yes;yes;4;3;5;2;1;5;0;10;10;11
GP;F;18;U;GT3;T;2;4;at_home;health;reputation;mother;1;3;0;no;yes;yes;yes;no;yes;yes;yes;4;4;4;2;2;1;0;5;0;4
GP;M;17;U;LE3;T;4;1;other;other;reputation;mother;2;2;1;no;yes;yes;yes;yes;yes;yes;yes;3;4;5;2;5;5;22;11;11;10
GP;M;16;U;GT3;T;3;1;at_home;other;home;mother;1;1;0;no;no;no;yes;yes;no;yes;no;4;3;1;2;3;5;3;9;10;12
GP;F;18;U;LE3;A;3;3;services;other;reputation;mother;2;3;3;no;yes;no;yes;yes;yes;yes;no;4;2;2;2;5;5;0;4;0;5
GP;M;18;U;LE3;T;4;2;services;other;reputation;father;1;2;0;yes;yes;yes;yes;yes;yes;yes;no;2;2;5;1;1;1;0;12;12;10
GP;F;15;U;LE3;T;4;2;other;health;reputation;mother;2;2;0;no;no;no;no;no;yes;yes;no;5;4;3;1;1;4;0;10;12;13
GP;M;16;U;LE3;T;2;4;other;other;course;mother;1;1;0;no;yes;yes;no;yes;yes;yes;yes;4;3;4;2;1;5;0;8;7;9
GP;M;19;U;GT3;A;4;2;teacher;other;reputation;mother;1;3;0;yes;no;no;no;yes;yes;no;no;5;3;4;1;3;5;42;14;14;18
GP;M;17;U;GT3;T;3;2;teacher;other;course;mother;3;2;0;no;yes;no;yes;yes;yes;yes;no;3;2;1;4;5;4;1;14;11;10
GP;M;18;R;LE3;T;3;1;services;other;course;father;2;1;0;no;yes;no;yes;yes;yes;yes;no;5;1;4;2;3;5;0;12;12;12
GP;F;16;R;LE3;T;0;2;at_home;other;reputation;mother;2;3;0;no;yes;no;no;yes;yes;yes;yes;3;3;1;1;1;3;0;14;11;12
GP;M;18;U;GT3;T;2;2;other;other;course;mother;2;2;1;no;yes;no;yes;no;yes;yes;no;5;3;4;5;5;4;1;5;4;6
GP;F;15;U;GT3;T;4;2;services;at_home;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;5;2;3;1;3;3;19;11;11;11
GP;M;15;U;GT3;T;4;1;teacher;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;3;3;5;1;14;9;10
GP;M;16;U;GT3;T;2;2;at_home;other;home;mother;1;1;0;no;no;no;yes;yes;yes;yes;yes;4;5;2;1;2;4;0;8;7;9
MS;F;15;R;GT3;T;2;4;at_home;other;course;mother;1;1;0;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;5;1;8;9;12
GP;F;17;U;GT3;T;1;1;health;teacher;course;mother;1;2;0;yes;yes;no;yes;yes;yes;no;no;4;4;3;1;1;5;0;14;16;16
GP;F;15;U;GT3;T;3;4;at_home;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;no;no;4;3;3;1;2;4;9;12;14;16
GP;F;15;R;GT3;T;4;4;teacher;services;reputation;other;2;2;0;no;yes;no;yes;no;yes;yes;yes;4;4;4;5;2;4;1;11;10;10
