school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;18;U;GT3;T;1;2;other;other;course;mother;1;2;0;no;no;yes;yes;yes;yes;no;no;2;3;2;1;1;5;0;13;11;11
GP;F;15;U;GT3;T;2;2;at_home;other;course;father;1;2;1;no;yes;no;no;yes;yes;yes;yes;3;2;4;1;2;4;4;10;9;11
MS;F;16;U;GT3;T;1;4;at_home;teacher;course;other;1;1;2;no;no;yes;yes;no;yes;yes;yes;4;5;4;1;1;5;3;14;12;13
GP;F;17;U;GT3;A;2;2;at_home;services;home;mother;1;2;0;no;no;no;no;yes;yes;yes;yes;5;4;5;1;4;5;27;9;8;11
GP;F;17;R;GT3;A;4;1;other;other;reputation;mother;2;3;2;no;no;yes;no;yes;yes;yes;no;4;2;4;1;2;5;3;12;11;10
GP;M;18;U;GT3;A;2;2;other;other;reputation;mother;1;1;0;no;yes;yes;no;yes;yes;yes;yes;4;4;2;1;1;5;1;12;13;12
GP;M;16;U;GT3;T;4;3;teacher;other;home;mother;1;2;2;no;no;no;yes;no;yes;yes;no;4;3;4;1;1;4;3;15;15;12
GP;M;15;R;GT3;T;4;3;teacher;at_home;reputation;father;1;1;0;no;yes;yes;yes;yes;yes;yes;yes;5;3;5;2;2;4;8;7;5;8
GP;F;17;U;GT3;T;2;3;at_home;other;home;mother;2;2;0;no;no;yes;no;no;yes;yes;yes;5;3;5;1;1;5;0;11;14;13
GP;M;17;R;GT3;A;2;1;at_home;services;reputation;father;2;1;0;no;yes;yes;yes;no;yes;yes;no;4;3;2;1;3;2;0;11;12;10
GP;F;15;U;LE3;T;1;3;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;4;5;1;3;3;14;14;15;16
GP;M;15;U;LE3;T;4;2;health;other;reputation;mother;2;4;0;yes;yes;no;no;yes;no;yes;yes;4;4;2;4;5;4;1;11;10;11
GP;F;15;U;LE3;T;3;1;teacher;services;other;mother;3;3;0;no;no;yes;yes;yes;yes;yes;no;4;2;2;3;1;5;3;7;8;8
GP;M;18;U;GT3;A;4;4;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;2;2;2;4;3;0;7;4;4
GP;F;18;U;GT3;A;3;1;other;services;reputation;mother;1;1;0;yes;yes;yes;no;yes;yes;yes;no;5;4;3;1;2;5;6;12;13;14
