school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;18;R;LE3;T;2;1;other;services;other;mother;2;2;1;no;no;no;no;yes;yes;yes;yes;4;5;3;3;2;1;0;9;7;8
GP;F;15;U;GT3;T;3;3;services;health;course;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;2;1;4;5;0;15;20;16
GP;F;17;U;GT3;T;4;4;teacher;teacher;course;mother;2;4;0;no;no;no;no;yes;yes;no;no;5;5;3;1;3;5;3;8;9;12
GP;M;16;R;GT3;T;3;1;at_home;other;course;mother;2;4;0;no;no;no;yes;yes;yes;no;no;4;2;5;1;1;4;0;13;10;10
GP;F;16;U;LE3;T;3;3;other;other;course;other;2;3;0;no;yes;no;no;yes;yes;no;no;5;2;3;1;4;3;11;18;15;13
GP;F;16;U;GT3;T;4;3;other;other;home;father;2;2;2;no;yes;yes;no;no;yes;yes;yes;4;3;2;1;1;5;4;9;6;8
GP;F;17;U;LE3;T;3;2;at_home;other;home;father;1;3;0;no;no;no;no;yes;yes;yes;no;5;3;2;1;1;3;9;9;9;13
GP;M;16;U;LE3;T;1;3;services;at_home;reputation;father;2;4;1;no;yes;yes;no;yes;yes;yes;yes;4;5;2;1;3;3;1;12;14;13
MS;M;16;U;GT3;T;3;1;at_home;other;home;mother;2;1;0;no;yes;no;no;yes;yes;yes;yes;4;3;3;2;3;1;1;19;20;18
GP;M;18;U;GT3;T;2;2;other;teacher;course;father;1;2;0;no;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;2;1;14;10;16
GP;M;17;R;GT3;T;2;3;other;services;reputation;other;3;4;1;yes;yes;yes;yes;yes;yes;yes;no;4;2;5;1;3;4;25;15;11;11
MS;M;18;U;LE3;T;3;2;health;other;reputation;mother;2;1;0;no;yes;yes;no;yes;yes;yes;no;4;2;5;1;2;5;0;15;14;16
GP;M;15;U;GT3;T;4;2;services;other;home;mother;2;2;0;yes;yes;no;yes;yes;yes;yes;no;4;4;4;1;1;3;0;11;13;15
GP;M;18;U;LE3;T;4;1;services;other;home;mother;3;1;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;3;4;5;4;0;11;12;14
GP;F;15;U;LE3;T;2;3;health;services;course;father;1;2;0;no;no;no;yes;yes;yes;no;no;3;4;5;1;1;3;0;10;14;13
GP;F;18;U;LE3;T;2;3;other;other;home;mother;1;1;2;yes;yes;yes;yes;yes;yes;yes;no;5;3;4;1;4;4;0;13;14;11
GP;F;17;U;LE3;T;4;1;at_home;other;home;father;2;1;0;no;no;no;yes;yes;yes;yes;no;3;4;4;1;1;5;0;11;7;9
GP;M;17;U;GT3;T;3;3;health;other;course;father;1;2;3;no;no;no;no;yes;yes;no;yes;4;4;5;1;1;2;0;15;14;15
GP;M;15;U;LE3;T;4;4;at_home;services;course;mother;1;1;0;no;yes;yes;no;no;yes;yes;no;5;2;1;2;1;3;1;9;12;11
GP;M;17;U;GT3;T;2;1;services;other;home;mother;1;2;0;no;yes;no;no;yes;no;yes;no;4;4;3;1;2;3;1;12;10;13
GP;F;15;U;GT3;T;2;3;health;other;course;mother;1;2;3;no;yes;yes;yes;yes;yes;yes;no;1;3;2;1;3;2;0;9;8;11
GP;F;16;U;GT3;T;2;3;other;services;reputation;father;2;1;1;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;1;5;0;13;12;12
MS;F;16;R;GT3;T;3;4;other;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;2;2;3;5;0;9;6;9
GP;M;19;U;GT3;T;2;2;other;other;course;father;3;2;3;yes;no;no;no;no;yes;yes;no;4;3;4;2;3;5;1;10;8;10
MS;F;18;U;GT3;A;4;3;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;2;4;2;1;1;1;14;15;17;16
GP;F;18;R;LE3;A;2;2;other;other;other;mother;2;1;0;yes;no;no;no;yes;yes;yes;no;4;4;3;1;1;5;2;12;9;12
GP;M;16;U;LE3;T;4;4;at_home;services;home;mother;1;2;0;no;yes;no;yes;yes;no;yes;no;3;5;1;2;1;1;15;12;11;15
MS;F;17;R;LE3;T;2;2;other;other;other;mother;3;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;2;3;2;1;5;2;18;16;18
MS;M;17;U;LE3;T;4;4;services;other;other;father;1;2;1;no;yes;no;yes;yes;no;yes;yes;4;3;3;1;2;4;9;12;12;16
GP;F;17;U;GT3;T;2;4;services;other;home;mother;1;2;1;yes;no;no;yes;yes;yes;yes;yes;3;3;2;1;1;5;1;15;13;15
MS;F;17;U;GT3;T;4;2;health;other;course;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;5;3;3;1;4;3;9;17;18;18
GP;M;16;R;GT3;T;1;1;other;teacher;course;mother;1;1;0;no;yes;yes;yes;no;yes;yes;no;3;3;4;1;1;5;0;12;11;12
GP;M;18;U;LE3;T;2;2;other;services;reputation;mother;2;2;1;no;yes;no;no;no;yes;yes;no;5;4;4;1;1;3;0;11;10;13
GP;F;16;U;LE3;T;4;4;services;services;course;mother;1;2;1;no;no;yes;yes;no;no;yes;yes;4;4;4;1;1;5;13;11;10;11
GP;M;19;U;GT3;T;2;3;services;services;reputation;other;2;3;0;no;yes;no;yes;no;yes;yes;no;4;3;3;3;2;3;34;10;13;16
GP;M;16;U;LE3;T;1;2;services;at_home;home;father;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;4;4;2;5;1;14;14;13
GP;F;16;U;GT3;T;2;1;health;other;other;mother;1;3;0;no;yes;yes;yes;no;yes;no;no;4;3;4;2;1;3;0;10;9;11
GP;F;17;U;GT3;T;1;4;services;services;reputation;mother;1;2;1;no;yes;no;yes;yes;yes;yes;no;5;3;2;1;1;5;0;12;10;13
GP;F;19;R;GT3;T;4;3;services;other;course;father;1;1;1;no;yes;yes;no;yes;yes;yes;yes;5;3;2;1;2;5;0;9;6;8
GP;F;18;U;LE3;T;4;2;other;other;course;mother;2;2;0;yes;yes;no;no;yes;yes;no;yes;3;4;3;3;3;4;3;7;6;9
GP;F;18;U;GT3;T;3;4;health;other;course;mother;2;2;0;no;no;no;no;no;yes;no;no;4;3;3;1;1;2;0;12;11;13
GP;M;16;U;LE3;T;4;1;other;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;5;4;5;1;1;3;0;15;14;19
GP;M;16;R;GT3;T;2;3;other;other;course;mother;2;2;0;no;no;no;yes;yes;yes;yes;no;4;4;2;1;2;5;1;11;9;12
MS;M;15;U;GT3;T;3;2;services;other;other;mother;1;2;1;no;yes;no;yes;yes;no;yes;yes;4;4;2;3;5;1;5;10;7;11
GP;M;18;R;GT3;T;1;4;services;other;reputation;mother;2;2;0;no;no;yes;yes;yes;no;yes;no;4;3;4;1;1;4;3;15;13;12
GP;F;17;U;GT3;T;3;3;other;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;no;no;no;3;3;4;1;1;2;25;19;17;17
GP;M;16;U;GT3;T;2;3;other;services;course;other;1;1;0;no;no;no;no;no;yes;yes;no;5;4;1;1;3;3;0;17;17;18
GP;F;17;U;GT3;A;3;3;teacher;other;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;4;3;4;1;1;5;0;11;9;12
