school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;18;U;GT3;A;2;1;at_home;other;reputation;mother;2;1;0;no;no;yes;no;no;yes;yes;no;4;3;2;1;1;5;7;14;16;16
GP;M;19;U;GT3;T;4;4;teacher;other;reputation;other;2;4;0;no;no;yes;yes;yes;yes;yes;no;3;4;2;1;1;5;2;20;20;20
GP;F;18;U;GT3;T;2;2;at_home;at_home;home;other;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;5;3;13;17;16
GP;M;17;R;GT3;T;4;2;at_home;other;course;mother;3;3;1;no;no;no;yes;yes;yes;yes;yes;4;1;3;1;5;5;1;7;6;8
GP;F;18;U;GT3;T;1;3;at_home;services;reputation;father;3;1;0;no;yes;yes;yes;yes;yes;no;no;4;3;2;1;3;3;5;13;12;14
GP;F;16;R;GT3;T;3;2;at_home;other;home;father;2;3;2;yes;yes;no;no;yes;yes;yes;yes;5;3;4;1;1;4;0;10;10;12
GP;M;15;U;GT3;T;4;2;at_home;other;course;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;5;3;2;1;5;2;0;14;18;17
GP;F;18;R;LE3;T;3;4;at_home;services;course;mother;1;1;1;no;yes;no;yes;yes;yes;yes;yes;4;1;5;1;4;5;0;10;9;9
GP;F;18;U;LE3;T;2;2;services;other;course;mother;1;3;2;yes;yes;yes;yes;yes;yes;yes;no;4;4;5;1;1;5;4;17;16;17
GP;F;17;U;GT3;T;3;2;at_home;at_home;reputation;father;2;4;0;no;no;yes;yes;no;yes;yes;no;5;3;3;1;5;3;0;11;13;15
GP;M;15;U;LE3;T;4;3;services;at_home;course;mother;1;2;1;no;no;no;yes;yes;yes;yes;no;5;3;2;1;2;5;0;18;16;14
GP;F;15;U;LE3;T;3;4;at_home;services;home;father;4;1;0;no;no;no;no;yes;yes;yes;no;3;1;2;1;1;2;0;17;15;14
GP;F;15;U;LE3;T;4;2;teacher;services;home;mother;1;2;2;yes;yes;no;no;yes;yes;yes;no;4;3;4;1;3;4;16;14;15;18
GP;F;15;U;LE3;A;4;1;other;other;reputation;other;1;2;2;no;yes;no;no;yes;yes;yes;no;4;1;3;3;2;5;4;12;7;8
GP;F;16;U;GT3;T;3;4;other;other;home;mother;1;3;1;no;yes;yes;yes;yes;yes;yes;yes;4;2;2;1;1;5;5;15;11;12
GP;M;15;R;GT3;T;3;1;teacher;other;reputation;mother;3;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;3;5;32;12;11;12
GP;M;15;U;LE3;T;3;2;other;other;course;father;2;1;0;no;no;no;yes;no;yes;yes;no;5;4;2;2;4;3;4;12;17;17
MS;M;15;U;GT3;T;2;2;other;services;home;mother;1;4;1;no;no;yes;yes;yes;yes;yes;no;4;2;3;1;1;5;22;18;16;18
GP;M;19;U;LE3;T;4;2;other;other;course;other;4;2;0;no;no;no;yes;no;yes;yes;yes;4;4;4;1;4;3;6;13;13;14
GP;M;16;U;GT3;T;2;2;other;other;course;father;1;4;0;no;yes;no;yes;yes;yes;yes;yes;5;3;3;3;5;5;0;5;3;6
GP;F;16;U;GT3;T;3;2;at_home;services;reputation;mother;1;2;1;no;yes;yes;no;yes;yes;yes;yes;3;2;3;1;3;5;6;6;8;12
GP;M;16;R;GT3;T;3;4;at_home;other;reputation;other;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;4;4;1;1;5;1;15;13;12
GP;F;19;U;GT3;T;4;3;at_home;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;2;1;1;3;21;16;15;14
GP;M;18;U;LE3;T;2;2;at_home;services;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;4;1;3;1;4;4;1;11;8;11
GP;F;18;U;GT3;T;3;4;other;services;home;mother;2;4;0;no;no;no;no;yes;yes;yes;no;4;4;4;2;4;3;1;14;15;17
GP;M;16;U;GT3;T;3;4;services;teacher;course;mother;2;1;2;no;yes;no;yes;yes;yes;no;no;4;5;2;1;4;5;0;11;12;12
GP;M;18;R;LE3;T;2;3;health;other;other;mother;1;3;0;no;no;no;yes;yes;yes;yes;no;3;4;1;2;5;5;3;16;14;17
GP;F;16;U;GT3;T;2;3;at_home;other;other;mother;1;2;0;yes;yes;yes;no;yes;yes;yes;no;5;3;3;1;1;5;2;13;17;18
GP;F;15;U;GT3;A;4;2;other;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;2;0;11;11;11
GP;M;16;U;GT3;T;3;2;teacher;other;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;2;3;2;3;5;0;12;11;12
GP;M;16;U;GT3;T;4;4;teacher;other;home;father;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;1;4;24;18;19;19
GP;M;15;R;GT3;T;0;3;at_home;services;reputation;mother;2;3;0;yes;yes;no;no;no;yes;no;no;5;3;3;1;4;5;1;10;8;12
GP;F;16;U;GT3;A;4;4;services;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;1;3;4;1;4;2;1;9;10;10
GP;F;19;R;GT3;T;4;2;services;health;home;mother;1;1;3;no;no;yes;yes;no;yes;yes;no;4;3;2;1;1;2;0;8;6;9
GP;M;15;U;LE3;A;2;1;other;services;reputation;mother;1;1;0;yes;yes;yes;no;yes;yes;yes;yes;3;4;5;5;2;5;11;14;16;19
GP;M;18;U;LE3;T;3;2;services;services;course;mother;1;1;1;no;yes;yes;yes;no;yes;yes;yes;4;4;5;1;2;2;1;11;9;9
GP;M;16;U;GT3;T;2;1;other;other;other;mother;1;2;0;no;yes;yes;no;yes;yes;no;no;4;4;2;1;1;4;0;15;17;16
GP;M;17;R;LE3;T;4;2;other;other;reputation;mother;1;1;0;yes;yes;yes;no;yes;yes;yes;no;5;5;4;1;3;1;1;17;16;16
MS;M;17;U;GT3;T;2;2;other;other;course;mother;1;3;0;no;yes;yes;yes;yes;yes;no;yes;5;3;2;2;2;3;2;11;11;12
MS;F;16;U;GT3;T;2;1;services;at_home;course;mother;2;4;0;no;yes;no;yes;yes;no;yes;no;3;3;3;1;1;5;0;12;12;11
GP;F;17;U;GT3;T;4;3;other;other;course;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;2;1;5;7;10;15;18
GP;M;15;U;LE3;T;4;4;teacher;other;reputation;father;2;2;0;no;yes;yes;no;no;yes;yes;no;4;4;4;2;2;1;0;18;17;15
GP;M;18;U;GT3;T;3;3;other;at_home;course;mother;3;1;0;no;no;no;no;yes;yes;yes;no;4;5;3;2;1;2;0;17;16;17
GP;M;15;U;GT3;T;3;3;other;services;course;father;1;3;0;no;no;yes;no;yes;no;no;no;2;2;2;1;2;5;0;7;10;11
GP;F;15;U;GT3;T;4;4;teacher;other;reputation;mother;2;1;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;3;1;3;4;0;14;11;12
GP;M;18;U;GT3;T;4;4;other;other;course;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;4;4;4;2;3;1;0;6;6;8
GP;M;17;U;GT3;T;3;3;teacher;other;home;mother;3;2;0;no;no;yes;no;yes;yes;yes;yes;5;3;2;1;3;2;3;10;10;12
GP;F;16;U;GT3;A;4;2;at_home;services;other;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;2;1;4;5;1;8;9;12
GP;M;19;U;GT3;T;1;3;teacher;other;course;father;1;2;1;no;yes;no;yes;yes;yes;yes;no;5;2;3;4;3;4;0;12;10;13
MS;F;17;R;GT3;T;3;4;at_home;other;other;father;4;1;0;no;yes;no;no;yes;yes;yes;yes;4;3;3;1;1;1;0;14;12;12
GP;F;17;R;LE3;A;4;2;health;other;home;mother;2;2;0;no;no;no;no;yes;yes;no;no;5;4;2;1;1;3;0;14;17;19
GP;M;17;R;GT3;T;4;4;other;other;reputation;mother;1;1;0;yes;yes;no;no;yes;no;yes;no;4;4;4;2;1;5;0;10;5;7
GP;F;15;U;GT3;T;2;0;services;services;other;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5;0;13;13;13
GP;F;16;U;GT3;T;1;3;at_home;other;reputation;mother;1;2;1;no;yes;no;yes;yes;yes;no;yes;3;3;2;1;1;3;7;9;9;11
GP;F;16;U;GT3;T;3;4;at_home;other;home;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;4;2;1;1;5;0;13;13;14
GP;M;15;U;GT3;A;4;4;health;services;reputation;other;2;1;0;no;yes;no;no;yes;yes;yes;no;5;4;4;1;1;5;0;15;13;13
GP;M;17;U;LE3;A;3;3;services;teacher;other;father;1;2;1;yes;yes;no;no;yes;yes;yes;no;4;4;3;1;1;3;5;14;17;17
MS;M;18;U;GT3;T;3;3;services;other;course;father;1;3;0;no;yes;yes;yes;no;yes;yes;yes;4;3;3;3;5;3;0;6;8;7
GP;F;17;U;GT3;T;3;2;other;services;reputation;mother;2;4;0;no;yes;no;yes;no;yes;yes;no;5;3;4;1;1;3;1;11;12;12
GP;M;18;U;GT3;T;4;2;teacher;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;3;3;4;1;1;5;0;11;14;12
GP;F;17;R;LE3;T;1;2;services;other;home;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;4;5;3;1;1;3;3;13;14;16
GP;F;17;U;GT3;T;1;2;services;services;home;father;1;2;2;no;no;yes;yes;yes;yes;yes;yes;5;4;4;1;2;5;1;9;11;13
GP;F;15;U;GT3;T;4;3;other;other;reputation;father;2;3;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;1;2;0;20;20;18
GP;M;18;U;GT3;T;2;4;at_home;other;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;4;1;3;2;2;5;17;9;10;14
GP;M;15;R;GT3;T;3;1;other;health;course;mother;1;3;0;no;no;yes;yes;yes;yes;yes;yes;3;4;5;2;2;5;0;7;8;9
GP;M;17;U;LE3;T;3;4;teacher;other;course;mother;1;3;0;no;no;no;no;yes;yes;no;no;5;2;3;1;1;3;0;15;17;17
GP;F;18;U;LE3;T;3;2;teacher;other;home;mother;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;4;5;10;16;15;16
GP;M;17;U;GT3;T;2;2;other;other;reputation;mother;2;1;0;no;yes;no;yes;no;yes;yes;yes;5;3;4;1;3;1;0;8;7;7
GP;F;18;R;LE3;T;4;2;services;other;home;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;1;2;4;1;2;5;0;14;18;15
GP;F;16;U;LE3;T;4;3;services;other;home;mother;1;3;0;no;no;yes;no;no;yes;yes;no;3;4;3;5;3;3;0;10;12;9
MS;M;18;U;LE3;T;2;3;other;other;course;mother;1;3;0;no;no;yes;no;yes;yes;yes;no;5;4;4;2;2;1;15;14;12;12
GP;F;18;U;GT3;T;2;1;teacher;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;2;2;1;5;0;7;6;8
GP;F;16;R;GT3;T;4;1;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;3;3;5;1;3;4;0;12;14;14
GP;M;17;R;GT3;T;3;3;teacher;at_home;course;father;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;4;2;3;3;3;4;9;9;10
GP;M;18;R;GT3;T;2;4;teacher;teacher;reputation;mother;1;3;2;no;yes;no;yes;yes;yes;yes;no;5;3;2;1;2;3;0;8;8;11
GP;M;15;R;LE3;T;2;2;other;other;home;mother;1;1;0;no;yes;no;yes;yes;yes;yes;yes;5;4;3;1;1;3;0;16;11;12
GP;M;17;U;LE3;T;3;1;services;services;course;father;3;1;3;no;no;no;no;yes;yes;yes;no;5;3;5;4;1;5;0;12;14;12
GP;F;15;U;GT3;T;3;1;other;services;other;mother;1;3;0;no;yes;yes;yes;no;yes;yes;yes;5;3;2;1;5;4;2;13;14;17
GP;F;17;U;GT3;T;3;2;at_home;at_home;home;father;1;1;0;no;yes;yes;no;yes;yes;yes;yes;4;3;2;1;3;4;0;13;14;12
